City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
302,Pozo Colorado,PY,75.79,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
303,Codrington,AU,61.86,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
304,Meadow Lake,US,68.86,few clouds,34.8014,-106.5436,TumbleWeed RV Park
305,Natal,BR,77.65,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
308,Flinders,AU,77.05,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
309,Juan Lacaze,UY,53.11,clear sky,-34.4342,-57.4381,Posada Agreste
310,Aswan,EG,83.5,clear sky,24.0934,32.907,Nuba Nile
311,Sydney,AU,77.58,few clouds,-33.8679,151.2073,The Grace Sydney
314,Chuy,UY,55.8,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
316,Hambantota,LK,75.54,scattered clouds,6.1241,81.1185,Bungalow 63
318,Kruisfontein,ZA,55.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
319,Saint-Pierre,RE,75.29,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
321,Emerald,AU,83.34,clear sky,-23.5333,148.1667,The Irish Village
326,Tshela,CD,72.48,overcast clouds,-4.9833,12.9333,Hotel Mirador
327,Jhanjharpur,IN,77.41,clear sky,26.2667,86.2833,Krishna Sweets
328,Sawakin,SD,78.12,clear sky,19.1059,37.3321,فندق الدويم
329,Chiang Khong,TH,75.69,clear sky,20.2613,100.4046,Chiangkhong Green Inn Resident
330,Kingaroy,AU,77.04,clear sky,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
334,Moree,AU,78.82,clear sky,-29.4667,149.85,Molika Springs Motel
335,Isangel,VU,87.91,broken clouds,-19.55,169.2667,Tanna Lodge
336,Port Macquarie,AU,79.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
340,Gull Lake,CA,51.58,overcast clouds,50.1001,-108.4847,Campbell's Accommodations
341,Katherine,AU,88.12,few clouds,-14.4667,132.2667,Pine Tree Motel
343,Iizuka,JP,61.09,scattered clouds,33.6333,130.6833,Hotel AZ Fukuoka Iizuka
344,Cockburn Town,TC,78.12,clear sky,21.4612,-71.1419,Osprey Beach Hotel
345,Sagua La Grande,CU,72.59,heavy intensity rain,22.8067,-80.0756,Hotel Telégrafo
346,Khowst,AF,63.28,few clouds,33.3833,69.8833,وچه خوړه،Wacha Khwara
347,Souillac,MU,77.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
349,Port Lincoln,AU,62.6,light rain,-34.7333,135.8667,Port Lincoln Hotel
353,Deming,US,75.09,clear sky,32.2687,-107.7586,Best Western Deming Southwest Inn
354,Esperance,AU,60.64,scattered clouds,-33.8667,121.9,Hospitality Esperance
355,Fortuna,US,54.66,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
358,Balabac,PH,81.41,moderate rain,7.9868,117.0645,Batalla’s Lodging House
360,Ambilobe,MG,72.59,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
361,Lompoc,US,77.56,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
363,Puerto Escondido,MX,79.77,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
366,Leshan,CN,57.99,overcast clouds,29.5623,103.7639,Leshan Haiyun International Youth Hostel
370,Bambari,CF,73.0,scattered clouds,5.768,20.6757,Hotel-Restaurant BIBICH
372,Mahon,ES,50.56,scattered clouds,39.8885,4.2658,ARTIEM Capri
374,Riyadh,SA,71.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
375,Port Shepstone,ZA,72.1,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
376,Doka,SD,86.85,clear sky,13.5167,35.7667,Um Rakuba Refugee Camp
377,Savalou,BJ,77.4,overcast clouds,7.9281,1.9756,Hotel F&F
379,Marrakesh,MA,50.07,broken clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
380,Praia Da Vitoria,PT,57.76,few clouds,38.7333,-27.0667,Hotel Branco I
381,Mount Gambier,AU,55.31,scattered clouds,-37.8333,140.7667,The Commodore
382,Komsomolskiy,UZ,56.12,clear sky,40.4272,71.7189,Ikathouse
384,Russell,US,74.8,clear sky,32.3502,-85.1999,Macs
385,Enterprise,US,82.94,broken clouds,36.0252,-115.2419,Las Vegas Motorcoach Resort
386,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
387,Gat,IL,74.39,clear sky,31.61,34.7642,OlusHome
389,Skibbereen,IE,50.11,few clouds,51.55,-9.2667,The West Cork Hotel
391,Bridgeton,US,51.91,scattered clouds,39.4273,-75.2341,Star Liberty Inn Hotel
394,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
395,Namibe,AO,68.47,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
397,Phek,IN,58.91,clear sky,25.6667,94.5,Prayer Centre
401,Guerrero Negro,MX,62.37,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
404,San Nicolas,PH,82.31,broken clouds,18.1725,120.5953,NORTHVIEW Hotel
405,Sorada,IN,77.04,overcast clouds,19.75,84.4333,PWD Guest House
406,Xiaoweizhai,CN,54.05,overcast clouds,26.1903,107.5125,Karst Youth Hostel
408,Vila Franca Do Campo,PT,52.21,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
409,Iwanai,JP,51.89,clear sky,42.9744,140.5089,いわない高原ホテル
411,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
412,Dingle,PH,84.22,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
413,Shu,KZ,53.42,clear sky,43.5983,73.7614,Shyngyzkhan
415,Kefamenanu,ID,79.79,clear sky,-9.4467,124.4781,Sokowindo Losmen
419,Jacareacanga,BR,74.05,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
420,Jacqueville,CI,81.36,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
424,Itoman,JP,68.02,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
425,Tres Arroyos,AR,53.29,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
427,Englewood,US,65.17,broken clouds,39.6478,-104.9878,InTown Suites Extended Stay Denver CO - Englewood
428,Vanimo,PG,79.83,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
429,Samfya,ZM,65.57,light rain,-11.3649,29.5565,Chita Lodge Samfya
430,Sassandra,CI,79.03,overcast clouds,4.95,-6.0833,la terrasse
432,Taltal,CL,66.79,clear sky,-25.4,-70.4833,Residencial Karime
433,Lakatoro,VU,82.76,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
438,Papara,BR,79.68,light rain,-3.9839,-38.7273,Bela vista Maranguape
439,Santa Rosa,PH,76.98,moderate rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
442,Almeirim,BR,73.8,light rain,-1.5233,-52.5817,Ricácio Hotel
444,La Concordia,NI,78.03,overcast clouds,13.1953,-86.1667,Parque de Ferias
445,Manokwari,ID,83.17,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
448,Kaeo,NZ,73.33,overcast clouds,-35.1,173.7833,Bushido Lodge
449,North Bend,US,53.51,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
451,Mutoko,ZW,61.88,scattered clouds,-17.397,32.2268,Mutoko Hotel
452,Gizo,SB,83.71,light rain,-8.103,156.8419,Imagination Island
453,Saurimo,AO,63.77,light rain,-9.6608,20.3916,Hotel Kawissa Saurimo
454,Cidreira,BR,68.88,broken clouds,-30.1811,-50.2056,Hotel Castelo
458,Amarillo,US,64.18,clear sky,35.222,-101.8313,Microtel Inn & Suites by Wyndham Amarillo
459,Birjand,IR,61.27,clear sky,32.8663,59.2211,Birjand Tourist Hotel
462,Kudahuvadhoo,MV,83.28,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
465,Birin,NP,60.8,clear sky,26.8865,88.0718,Sangam hotel and lodge
466,Isabela,PH,80.65,overcast clouds,6.7085,121.9711,Isawad Resort
469,Toamasina,MG,75.2,broken clouds,-18.1667,49.3833,Hotel H1
471,Rapid City,US,64.42,few clouds,44.0805,-103.231,"Hotel Alex Johnson Rapid City, Curio Collection by Hilton"
473,Bambanglipuro,ID,80.04,few clouds,-7.95,110.2833,Puri Brata
474,Horsham,GB,54.1,broken clouds,51.064,-0.3272,Springfields Hotel
475,Coquimbo,CL,61.36,clear sky,-29.9533,-71.3436,Hotel San Juan
476,Topolobampo,MX,68.22,clear sky,25.6,-109.05,Hotel Marina Topolobampo
477,Cortez,US,61.56,few clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
478,Bodden Town,KY,81.0,few clouds,19.2833,-81.25,Will T Place
479,Didsbury,GB,52.02,moderate rain,53.417,-2.2315,Eleven Didsbury Park
482,Black River,JM,78.28,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
484,Dalby,AU,80.2,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
488,Lakes Entrance,AU,63.16,scattered clouds,-37.8811,147.981,The Esplanade Resort & Spa
489,Yellandu,IN,76.17,few clouds,17.6,80.3333,Usha Lodge
490,Ahuimanu,US,82.11,broken clouds,21.4447,-157.8378,Paradise Bay Resort
492,Malindi,KE,80.4,few clouds,-3.2175,40.1191,African House Resort
493,Garowe,SO,69.85,scattered clouds,8.4054,48.4845,Curubo Hotel
494,Derna,LY,73.98,clear sky,32.767,22.6367,فندق الفردوس
496,San Vicente,AR,64.74,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
502,Olds,CA,50.85,overcast clouds,51.7834,-114.102,Ramada by Wyndham Olds
505,Presidente Olegario,BR,66.83,clear sky,-18.4178,-46.4181,Cruzeiro Hotel
506,Alugan,PH,81.64,moderate rain,12.2188,125.4808,JM Lodge
508,Guadalupe Y Calvo,MX,52.29,clear sky,26.1,-106.9667,Hotel Pizarro
510,Vaitape,PF,82.99,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
512,Montevideo,UY,55.11,clear sky,-34.8335,-56.1674,Besares Social Club
513,Lichinga,MZ,64.49,broken clouds,-13.3128,35.2406,Residencial Bendiak
514,Koumac,NC,79.74,moderate rain,-20.5667,164.2833,Le Monitel
515,Labuhan,ID,80.69,few clouds,-6.8844,112.2051,DoubleFAG
516,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
517,Bonthe,SL,76.89,broken clouds,7.5264,-12.505,Bonthe Holiday Village
518,Tabou,CI,80.49,light rain,4.423,-7.3528,hotêl doufoulougou
521,Ypsonas,CY,61.29,scattered clouds,34.6884,32.9574,Club Aphrodite
522,Port Hedland,AU,87.85,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
524,Alta Floresta,BR,75.02,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
525,Ara,IN,69.69,clear sky,25.5667,84.6667,Hotel The Regal- Arrah
528,Assiniboia,CA,53.42,overcast clouds,49.6334,-105.9845,Canalta Hotel Assiniboia
529,Tena,EC,69.71,moderate rain,-0.9833,-77.8167,Hostal Tena Ñaui
