City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
259,Chhatarpur,IN,24.9,79.6,79.36,12,0,5.23,clear sky
260,Puerto Carreno,CO,6.189,-67.4859,79.99,77,97,8.28,overcast clouds
261,La Esperanza,GT,14.8667,-91.5667,61.52,91,75,0.0,broken clouds
262,Santiago,CL,-33.4569,-70.6483,73.29,38,0,5.75,clear sky
263,Ardmore,US,34.1743,-97.1436,60.58,90,75,14.97,moderate rain
264,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.47,88,0,8.9,clear sky
265,Pogradec,AL,40.9025,20.6525,41.68,95,100,2.91,overcast clouds
266,Mastung,PK,29.7994,66.845,58.95,17,5,2.77,clear sky
267,Honiara,SB,-9.4333,159.95,80.62,88,100,7.45,overcast clouds
268,Tonantins,BR,-2.8731,-67.8022,74.59,94,66,2.1,broken clouds
269,Cairns,AU,-16.9167,145.7667,93.07,67,96,4.61,overcast clouds
270,Dong Hoi,VN,17.4833,106.6,67.12,80,100,8.52,overcast clouds
271,Luderitz,NA,-26.6481,15.1594,58.73,82,0,6.13,clear sky
272,Lerwick,GB,60.1545,-1.1494,33.8,60,100,16.96,overcast clouds
273,Te Anau,NZ,-45.4167,167.7167,63.72,81,100,5.14,overcast clouds
274,Katobu,ID,-4.9408,122.5276,83.46,66,100,2.19,overcast clouds
275,Ulaanbaatar,MN,47.9077,106.8832,24.93,54,75,2.24,broken clouds
276,Orotukan,RU,62.2667,151.7,4.6,93,100,5.14,overcast clouds
277,Faanui,PF,-16.4833,-151.75,82.96,73,8,16.42,clear sky
278,Pacific Grove,US,36.6177,-121.9166,70.38,78,0,10.36,clear sky
279,Kavieng,PG,-2.5744,150.7967,82.47,79,100,8.19,light rain
280,Xining,CN,36.6167,101.7667,42.37,39,0,2.19,clear sky
281,Sibu,MY,2.3,111.8167,77.31,88,40,3.44,scattered clouds
282,Hays,US,30.0502,-98.0336,77.22,74,91,8.66,overcast clouds
283,Inuvik,CA,68.3499,-133.7218,-10.44,61,100,5.75,light snow
284,Dubrajpur,IN,23.8,87.3833,77.16,82,1,9.91,clear sky
285,Kilimatinde,TZ,-5.85,34.95,64.35,83,18,1.59,few clouds
286,Udankudi,IN,8.4333,78.0167,78.98,77,19,0.83,few clouds
287,Richmond,US,37.5538,-77.4603,59.23,45,75,3.44,broken clouds
288,Xinqing,CN,48.2333,129.5,40.68,80,100,10.8,overcast clouds
289,Farah,AF,32.5,62.5,68.36,11,5,4.16,clear sky
290,Khasan,RU,42.4308,130.6434,44.73,77,15,3.76,few clouds
291,Alofi,NU,-19.0595,-169.9187,73.29,88,100,9.22,overcast clouds
292,Narsaq,GL,60.9167,-46.05,46.62,81,100,3.65,overcast clouds
293,Arrifes,PT,37.7667,-25.7,50.25,76,40,3.44,scattered clouds
294,Lamu,KE,-2.2717,40.902,82.62,83,1,7.38,clear sky
295,Ulcinj,ME,41.9294,19.2244,39.42,72,100,7.45,overcast clouds
296,Chaiyaphum,TH,15.75,102.0,74.8,59,16,12.44,few clouds
297,Massakory,TD,12.996,15.7293,85.78,9,36,8.52,scattered clouds
298,Nabire,ID,-3.3667,135.4833,86.31,55,53,3.8,broken clouds
299,Byron Bay,AU,-28.65,153.6167,79.72,67,0,3.02,clear sky
300,Tahta,EG,26.7693,31.5021,77.04,12,0,4.09,clear sky
301,Shabrovskiy,RU,56.636,60.5807,38.01,70,20,20.13,few clouds
302,Pozo Colorado,PY,-23.4923,-58.7972,75.79,88,98,5.06,overcast clouds
303,Codrington,AU,-38.2667,141.9667,61.86,58,100,4.74,overcast clouds
304,Meadow Lake,US,34.8014,-106.5436,68.86,20,15,4.18,few clouds
305,Natal,BR,-5.795,-35.2094,77.65,94,20,3.44,few clouds
306,Athabasca,CA,54.7169,-113.2854,45.01,86,100,11.36,overcast clouds
307,Bilibino,RU,68.0546,166.4372,5.5,67,0,2.91,clear sky
308,Flinders,AU,-34.5833,150.8552,77.05,65,1,4.0,clear sky
309,Juan Lacaze,UY,-34.4342,-57.4381,53.11,36,5,7.27,clear sky
310,Aswan,EG,24.0934,32.907,83.5,13,0,8.05,clear sky
311,Sydney,AU,-33.8679,151.2073,77.58,54,20,6.91,few clouds
312,Agirish,RU,61.9247,63.0231,19.65,95,100,4.36,overcast clouds
313,Boden,SE,65.8252,21.6886,14.0,90,75,9.82,broken clouds
314,Chuy,UY,-33.6971,-53.4616,55.8,62,0,5.82,clear sky
315,Qaqortoq,GL,60.7167,-46.0333,35.53,93,100,3.51,overcast clouds
316,Hambantota,LK,6.1241,81.1185,75.54,100,40,2.3,scattered clouds
317,Saint-Augustin,CA,51.226,-58.6502,31.55,94,100,6.15,overcast clouds
318,Kruisfontein,ZA,-34.0033,24.7314,55.89,74,1,9.06,clear sky
319,Saint-Pierre,RE,-21.3393,55.4781,75.29,86,35,4.61,scattered clouds
320,Anadyr,RU,64.75,177.4833,0.1,70,20,20.13,few clouds
321,Emerald,AU,-23.5333,148.1667,83.34,61,6,6.91,clear sky
322,Vila,PT,42.0304,-8.1588,33.69,76,90,4.7,overcast clouds
323,Dukat,RU,62.55,155.55,8.01,89,98,3.83,overcast clouds
324,Beyneu,KZ,45.3167,55.2,48.31,69,6,11.34,clear sky
325,Mbekenyera,TZ,-10.0,38.9833,69.22,96,7,1.92,clear sky
326,Tshela,CD,-4.9833,12.9333,72.48,100,100,0.31,overcast clouds
327,Jhanjharpur,IN,26.2667,86.2833,77.41,75,0,13.58,clear sky
328,Sawakin,SD,19.1059,37.3321,78.12,59,0,5.61,clear sky
329,Chiang Khong,TH,20.2613,100.4046,75.69,66,6,1.88,clear sky
330,Kingaroy,AU,-26.5333,151.8333,77.04,50,0,6.91,clear sky
331,Skopin,RU,53.8249,39.5505,25.72,91,44,6.67,scattered clouds
332,Khani,GE,41.9563,42.9566,36.97,84,85,7.9,overcast clouds
333,Vostok,RU,46.4856,135.8833,51.01,55,61,7.34,broken clouds
334,Moree,AU,-29.4667,149.85,78.82,61,0,10.36,clear sky
335,Isangel,VU,-19.55,169.2667,87.91,74,75,4.61,broken clouds
336,Port Macquarie,AU,-31.4333,152.9167,79.9,58,0,6.53,clear sky
337,Sitka,US,57.0531,-135.33,44.49,65,0,10.36,clear sky
338,Marystown,CA,47.1666,-55.1483,37.85,100,100,14.0,overcast clouds
339,Talnakh,RU,69.4865,88.3972,-0.09,84,34,9.13,scattered clouds
340,Gull Lake,CA,50.1001,-108.4847,51.58,44,100,6.6,overcast clouds
341,Katherine,AU,-14.4667,132.2667,88.12,58,20,6.91,few clouds
342,Linxia,CN,35.6003,103.2064,48.9,22,0,1.77,clear sky
343,Iizuka,JP,33.6333,130.6833,61.09,15,41,2.1,scattered clouds
344,Cockburn Town,TC,21.4612,-71.1419,78.12,81,0,15.01,clear sky
